VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240607,WB,Equity,Delta,-16.9,19.2
20240607,WB,Equity,Gamma_Residual,0.8,-0.1
20240607,WB,Interest_Rate,Rho,111.9,-112.4
20240607,WB,Interest_Rate,Convexity_Residual,-2.1,1.0
20240607,WB,Interest_Rate,Basis,0.0,-1.3
20240607,WB,Credit,HY_Total,-0.8,1.6
20240607,WB,Credit,AGG_Credit,1.4,-0.1
20240607,WB,Credit,Agg_Risk_Free_Growth,-0.5,0.0
20240607,WB,Credit,ILP_Update,0.0,0.0
20240607,WB,Fund_Basis_Fund_Mapping,,-4.9,-1.3
20240607,WB,Passage_Of_Time,,-2.6,2.7
20240607,WB,Other_Inforce,,-1.4,0.0
20240607,WB,New_Business,,0.2,0.0
20240607,WB,Cross_Impact_True_up,,0.2,0.0
