Date,Daily Highlights,QTD Highlights
20230927,"Dynamic P&L Highlights
•         $0m impact on Delta (affected by $0m SPX cash/futures basis on the day; remaining SPX cash/futures basis EOD is  $2m)
•        $0m impact on Gamma 
•        $0m impact on Volatility
•        $0m impact on Total Rho Hedge ($0m impact on Treasury Basis)
•        $0m impact on Credit
•        -$2m loss on Underlying Fund P&L (excluding EAFE timing of  $1m, EM timing of  $0m)
•        -$1m loss on POT/Carry/Fee


