VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240614,DBIB,Equity,Delta,-7.8,8.2
20240614,DBIB,Equity,Gamma_Residual,0.4,0.0
20240614,DBIB,Interest_Rate,Rho,-18.1,17.6
20240614,DBIB,Interest_Rate,Convexity_Residual,-0.1,0.2
20240614,DBIB,Interest_Rate,Basis,0.0,-1.5
20240614,DBIB,Credit,HY_Total,-0.4,0.6
20240614,DBIB,Credit,AGG_Credit,-0.1,0.0
20240614,DBIB,Credit,Agg_Risk_Free_Growth,-0.1,0.0
20240614,DBIB,Credit,ILP_Update,0.0,0.0
20240614,DBIB,Fund_Basis_Fund_Mapping,,2.1,-1.8
20240614,DBIB,Passage_Of_Time,,-0.1,-0.2
20240614,DBIB,Other_Inforce,,-0.7,0.0
20240614,DBIB,New_Business,,-0.1,0.0
20240614,DBIB,Cross_Impact_True_up,,0.4,0.0
