VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240424,DBIB,Equity,Delta,0.5,-0.2
20240424,DBIB,Equity,Gamma_Residual,0.4,0.0
20240424,DBIB,Interest_Rate,Rho,29.0,-28.9
20240424,DBIB,Interest_Rate,Convexity_Residual,-0.4,-0.0
20240424,DBIB,Interest_Rate,Basis,0.0,0.4
20240424,DBIB,Credit,HY_Total,-0.1,0.2
20240424,DBIB,Credit,AGG_Credit,0.2,0.0
20240424,DBIB,Credit,Agg_Risk_Free_Growth,-0.1,0.0
20240424,DBIB,Credit,ILP_Update,0.0,0.0
20240424,DBIB,Fund_Basis_Fund_Mapping,,-1.8,-0.9
20240424,DBIB,Passage_Of_Time,,-0.1,-0.2
20240424,DBIB,Other_Inforce,,0.7,0.0
20240424,DBIB,New_Business,,-0.0,0.0
20240424,DBIB,Cross_Impact_True_up,,0.3,-0.0
