VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE,SOURCE_FILE
20230927,DBIB,ILP,,0.0,0.0,table_TEST Daily Hedging P&L Summary for DBIB 2023_09_27.csv
20230927,WB,Theta_Carry,,-2.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_27.csv
20230927,DBIB,Rates,Dynamic_Rho,28.0,-28.0,table_TEST Daily Hedging P&L Summary for DBIB 2023_09_27.csv
20230927,DBIB,Equity,Delta,1.0,-1.0,table_TEST Daily Hedging P&L Summary for DBIB 2023_09_27.csv
20230927,DBIB,Equity,Volatility,0.0,0.0,table_TEST Daily Hedging P&L Summary for DBIB 2023_09_27.csv
20230927,WB,Credit,Credit,0.0,1.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_27.csv
20230927,DBIB,Other_Unhedged,,-1.0,0.0,table_TEST Daily Hedging P&L Summary for DBIB 2023_09_27.csv
20230927,DBIB,ALSO,,0.0,0.0,table_TEST Daily Hedging P&L Summary for DBIB 2023_09_27.csv
20230927,DBIB,Theta_Carry,,-1.0,0.0,table_TEST Daily Hedging P&L Summary for DBIB 2023_09_27.csv
20230927,DBIB,Fees,,0.0,1.0,table_TEST Daily Hedging P&L Summary for DBIB 2023_09_27.csv
20230927,DBIB,Credit,Credit,0.0,0.0,table_TEST Daily Hedging P&L Summary for DBIB 2023_09_27.csv
20230927,DBIB,Underlying_Fund,,1.0,-1.0,table_TEST Daily Hedging P&L Summary for DBIB 2023_09_27.csv
20230927,WB,Equity,Delta,-2.0,2.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_27.csv
20230927,DBIB,Equity,Gamma,0.0,0.0,table_TEST Daily Hedging P&L Summary for DBIB 2023_09_27.csv
20230927,WB,Fees,,0.0,2.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_27.csv
20230927,WB,Other_Unhedged,,-2.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_27.csv
20230927,WB,New_Business_Model_Change,,0.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_27.csv
20230927,WB,ILP,,0.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_27.csv
20230927,WB,Equity,Gamma,0.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_27.csv
20230927,WB,Equity,Volatility,0.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_27.csv
20230927,WB,Rates,Dynamic_Rho,42.0,-44.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_27.csv
20230927,WB,Underlying_Fund,,5.0,-3.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_27.csv
20230929,WB,Underlying_Fund,,5.0,-3.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_29.csv
20230929,WB,Rates,Dynamic_Rho,-14.0,16.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_29.csv
20230929,WB,New_Business_Model_Change,,0.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_29.csv
20230929,WB,Theta_Carry,,-3.0,1.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_29.csv
20230929,WB,Equity,Delta,-6.0,8.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_29.csv
20230929,WB,Equity,Gamma,0.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_29.csv
20230929,WB,Fees,,0.0,2.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_29.csv
20230929,WB,Credit,Credit,-8.0,-1.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_29.csv
20230929,WB,Equity,Volatility,0.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_29.csv
20230929,WB,ILP,,-1.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_29.csv
20230929,WB,Other_Unhedged,,-2.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_29.csv
20231027,WB,Equity,Volatility,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_27.csv
20231027,WB,Other_Unhedged,,-2.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_27.csv
20231027,WB,Equity,Delta,-20.0,21.0,table_Daily Hedging P&L Summary for WB 2023_10_27.csv
20231027,DBIB,Equity,Delta,-10.0,10.0,table_Daily Hedging P&L Summary for DBIB 2023_10_27.csv
20231027,DBIB,ILP,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_27.csv
20231027,DBIB,Credit,Credit,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_27.csv
20231027,DBIB,Rates,Dynamic_Rho,10.0,-8.0,table_Daily Hedging P&L Summary for DBIB 2023_10_27.csv
20231027,DBIB,Equity,Gamma,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_27.csv
20231027,DBIB,Equity,Volatility,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_27.csv
20231027,DBIB,New_Business,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_27.csv
20231027,DBIB,Model_Change,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_27.csv
20231027,DBIB,Fees,,0.0,1.0,table_Daily Hedging P&L Summary for DBIB 2023_10_27.csv
20231027,DBIB,Theta_Carry,,-1.0,1.0,table_Daily Hedging P&L Summary for DBIB 2023_10_27.csv
20231027,DBIB,Other_Unhedged,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_27.csv
20231027,DBIB,Underlying_Fund,,7.0,-3.0,table_Daily Hedging P&L Summary for DBIB 2023_10_27.csv
20231027,WB,Credit,Credit,2.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_27.csv
20231027,WB,Rates,Dynamic_Rho,22.0,-19.0,table_Daily Hedging P&L Summary for WB 2023_10_27.csv
20231027,WB,Equity,Gamma,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_27.csv
20231027,WB,Fees,,0.0,2.0,table_Daily Hedging P&L Summary for WB 2023_10_27.csv
20231027,WB,Underlying_Fund,,7.0,-7.0,table_Daily Hedging P&L Summary for WB 2023_10_27.csv
20231027,WB,Theta_Carry,,-3.0,2.0,table_Daily Hedging P&L Summary for WB 2023_10_27.csv
20231027,WB,Model_Change,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_27.csv
20231027,WB,New_Business,,1.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_27.csv
20231027,WB,ILP,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_27.csv
20231030,DBIB,Fees,,0.0,1.0,table_Daily Hedging P&L Summary for DBIB 2023_10_30.csv
20231030,DBIB,ILP,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_30.csv
20231030,WB,Fees,,0.0,2.0,table_Daily Hedging P&L Summary for WB 2023_10_30.csv
20231030,WB,New_Business,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_30.csv
20231030,WB,Other_Unhedged,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_30.csv
20231030,WB,Credit,Credit,-2.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_30.csv
20231030,WB,Rates,Dynamic_Rho,14.0,-14.0,table_Daily Hedging P&L Summary for WB 2023_10_30.csv
20231030,DBIB,Equity,Delta,17.0,-18.0,table_Daily Hedging P&L Summary for DBIB 2023_10_30.csv
20231030,DBIB,Equity,Volatility,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_30.csv
20231030,DBIB,Rates,Dynamic_Rho,8.0,-9.0,table_Daily Hedging P&L Summary for DBIB 2023_10_30.csv
20231030,DBIB,Equity,Gamma,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_30.csv
20231030,DBIB,Other_Unhedged,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_30.csv
20231030,DBIB,New_Business_Model_Change,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_30.csv
20231030,DBIB,Underlying_Fund,,2.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_30.csv
20231030,DBIB,Theta_Carry,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_30.csv
20231030,WB,Underlying_Fund,,5.0,1.0,table_Daily Hedging P&L Summary for WB 2023_10_30.csv
20231030,DBIB,Credit,Credit,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_30.csv
20231030,WB,Theta_Carry,,-2.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_30.csv
20231030,WB,Equity,Volatility,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_30.csv
20231030,WB,Model_Change,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_30.csv
20231030,WB,Equity,Gamma,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_30.csv
20231030,WB,Equity,Delta,42.0,-46.0,table_Daily Hedging P&L Summary for WB 2023_10_30.csv
20231030,WB,ILP,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_30.csv
20231031,DBIB,Rates,Dynamic_Rho,-4.0,3.0,table_Daily Hedging P&L Summary for DBIB 2023_10_31.csv
20231031,DBIB,Equity,Delta,10.0,-10.0,table_Daily Hedging P&L Summary for DBIB 2023_10_31.csv
20231031,WB,ILP,,2.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_31.csv
20231031,WB,New_Business_Model_Change,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_31.csv
20231031,DBIB,Theta_Carry,,-1.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_31.csv
20231031,DBIB,Fees,,0.0,1.0,table_Daily Hedging P&L Summary for DBIB 2023_10_31.csv
20231031,DBIB,ALSO,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_31.csv
20231031,DBIB,Equity,Gamma,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_31.csv
20231031,WB,Underlying_Fund,,5.0,2.0,table_Daily Hedging P&L Summary for WB 2023_10_31.csv
20231031,DBIB,Equity,Volatility,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_31.csv
20231031,WB,Credit,Credit,-2.0,-1.0,table_Daily Hedging P&L Summary for WB 2023_10_31.csv
20231031,WB,Equity,Volatility,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_31.csv
20231031,WB,Equity,Gamma,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_31.csv
20231031,WB,Theta_Carry,,-6.0,1.0,table_Daily Hedging P&L Summary for WB 2023_10_31.csv
20231031,WB,Other_Unhedged,,-1.0,0.0,table_Daily Hedging P&L Summary for WB 2023_10_31.csv
20231031,WB,Fees,,0.0,2.0,table_Daily Hedging P&L Summary for WB 2023_10_31.csv
20231031,WB,Rates,Dynamic_Rho,-10.0,8.0,table_Daily Hedging P&L Summary for WB 2023_10_31.csv
20231031,WB,Equity,Delta,21.0,-23.0,table_Daily Hedging P&L Summary for WB 2023_10_31.csv
20231031,DBIB,Underlying_Fund,,0.0,1.0,table_Daily Hedging P&L Summary for DBIB 2023_10_31.csv
20231031,DBIB,Other_Unhedged,,-1.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_31.csv
20231031,DBIB,ILP,,2.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_31.csv
20231031,DBIB,New_Business_Model_Change,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_31.csv
20231031,DBIB,Credit,Credit,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_10_31.csv
20231101,WB,Other_Unhedged,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_01.csv
20231101,WB,Theta_Carry,,-2.0,1.0,table_Daily Hedging P&L Summary for WB 2023_11_01.csv
20231101,WB,Underlying_Fund,,-7.0,-2.0,table_Daily Hedging P&L Summary for WB 2023_11_01.csv
20231101,DBIB,Credit,Credit,3.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_01.csv
20231101,DBIB,Other_Unhedged,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_01.csv
20231101,DBIB,New_Business,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_01.csv
20231101,DBIB,ILP,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_01.csv
20231101,DBIB,ALSO,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_01.csv
20231101,DBIB,Fees,,0.0,1.0,table_Daily Hedging P&L Summary for DBIB 2023_11_01.csv
20231101,WB,Equity,Delta,44.0,-44.0,table_Daily Hedging P&L Summary for WB 2023_11_01.csv
20231101,WB,Equity,Gamma,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_01.csv
20231101,WB,ILP,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_01.csv
20231101,WB,Fees,,0.0,2.0,table_Daily Hedging P&L Summary for WB 2023_11_01.csv
20231101,DBIB,Theta_Carry,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_01.csv
20231101,DBIB,Underlying_Fund,,0.0,-2.0,table_Daily Hedging P&L Summary for DBIB 2023_11_01.csv
20231101,DBIB,Equity,Delta,17.0,-16.0,table_Daily Hedging P&L Summary for DBIB 2023_11_01.csv
20231101,WB,Credit,Credit,19.0,-2.0,table_Daily Hedging P&L Summary for WB 2023_11_01.csv
20231101,WB,Equity,Volatility,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_01.csv
20231101,WB,New_Business_Model_Change,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_01.csv
20231101,WB,Rates,Dynamic_Rho,-50.0,54.0,table_Daily Hedging P&L Summary for WB 2023_11_01.csv
20231101,DBIB,Model_Change,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_01.csv
20231101,DBIB,Equity,Volatility,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_01.csv
20231101,DBIB,Rates,Dynamic_Rho,-30.0,32.0,table_Daily Hedging P&L Summary for DBIB 2023_11_01.csv
20231101,DBIB,Equity,Gamma,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_01.csv
20231102,DBIB,Credit,Credit,2.0,-2.0,table_Daily Hedging P&L Summary for DBIB 2023_11_02.csv
20231102,DBIB,Theta_Carry,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_02.csv
20231102,DBIB,Underlying_Fund,,0.0,1.0,table_Daily Hedging P&L Summary for DBIB 2023_11_02.csv
20231102,WB,Other_Unhedged,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_02.csv
20231102,WB,Equity,Volatility,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_02.csv
20231102,WB,Equity,Delta,88.0,-89.0,table_Daily Hedging P&L Summary for WB 2023_11_02.csv
20231102,WB,Credit,Credit,2.0,-5.0,table_Daily Hedging P&L Summary for WB 2023_11_02.csv
20231102,WB,Equity,Gamma,-1.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_02.csv
20231102,DBIB,Rates,Dynamic_Rho,-67.0,61.0,table_Daily Hedging P&L Summary for DBIB 2023_11_02.csv
20231102,DBIB,Equity,Volatility,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_02.csv
20231102,DBIB,Equity,Gamma,-1.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_02.csv
20231102,DBIB,Equity,Delta,35.0,-35.0,table_Daily Hedging P&L Summary for DBIB 2023_11_02.csv
20231102,WB,Theta_Carry,,-3.0,1.0,table_Daily Hedging P&L Summary for WB 2023_11_02.csv
20231102,WB,Underlying_Fund,,7.0,1.0,table_Daily Hedging P&L Summary for WB 2023_11_02.csv
20231102,WB,Model_Change,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_02.csv
20231102,WB,Fees,,0.0,2.0,table_Daily Hedging P&L Summary for WB 2023_11_02.csv
20231102,WB,New_Business,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_02.csv
20231102,WB,ILP,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_02.csv
20231102,WB,Rates,Dynamic_Rho,-126.0,121.0,table_Daily Hedging P&L Summary for WB 2023_11_02.csv
20231102,DBIB,Fees,,0.0,1.0,table_Daily Hedging P&L Summary for DBIB 2023_11_02.csv
20231102,DBIB,Other_Unhedged,,5.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_02.csv
20231102,DBIB,New_Business_Model_Change,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_02.csv
20231102,DBIB,ILP,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_02.csv
20231102,DBIB,ALSO,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_02.csv
20231103,DBIB,Fees,,0.0,1.0,table_Daily Hedging P&L Summary for DBIB 2023_11_03.csv
20231103,DBIB,Other_Unhedged,,2.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_03.csv
20231103,DBIB,Equity,Delta,22.0,-22.0,table_Daily Hedging P&L Summary for DBIB 2023_11_03.csv
20231103,DBIB,Equity,Gamma,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_03.csv
20231103,DBIB,Model_Change,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_03.csv
20231103,DBIB,Credit,Credit,2.0,-1.0,table_Daily Hedging P&L Summary for DBIB 2023_11_03.csv
20231103,DBIB,Underlying_Fund,,-1.0,-1.0,table_Daily Hedging P&L Summary for DBIB 2023_11_03.csv
20231103,DBIB,Theta_Carry,,-2.0,1.0,table_Daily Hedging P&L Summary for DBIB 2023_11_03.csv
20231103,DBIB,Equity,Volatility,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_03.csv
20231103,DBIB,Rates,Dynamic_Rho,-41.0,41.0,table_Daily Hedging P&L Summary for DBIB 2023_11_03.csv
20231103,DBIB,ILP,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_03.csv
20231103,DBIB,ALSO,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_03.csv
20231103,DBIB,New_Business,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_03.csv
20231103,WB,Underlying_Fund,,4.0,-4.0,table_Daily Hedging P&L Summary for WB 2023_11_03.csv
20231103,WB,Rates,Dynamic_Rho,-67.0,72.0,table_Daily Hedging P&L Summary for WB 2023_11_03.csv
20231103,WB,Credit,Credit,6.0,-4.0,table_Daily Hedging P&L Summary for WB 2023_11_03.csv
20231103,WB,Fees,,0.0,2.0,table_Daily Hedging P&L Summary for WB 2023_11_03.csv
20231103,WB,Theta_Carry,,-3.0,2.0,table_Daily Hedging P&L Summary for WB 2023_11_03.csv
20231103,WB,Other_Unhedged,,-1.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_03.csv
20231103,WB,Equity,Gamma,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_03.csv
20231103,WB,Equity,Volatility,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_03.csv
20231103,WB,ILP,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_03.csv
20231103,WB,Equity,Delta,54.0,-54.0,table_Daily Hedging P&L Summary for WB 2023_11_03.csv
20231103,WB,New_Business,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_03.csv
20231106,DBIB,Equity,Delta,-1.0,1.0,table_Daily Hedging P&L Summary for DBIB 2023_11_06.csv
20231106,DBIB,ALSO,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_06.csv
20231106,DBIB,Underlying_Fund,,-2.0,-1.0,table_Daily Hedging P&L Summary for DBIB 2023_11_06.csv
20231106,DBIB,Equity,Gamma,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_06.csv
20231106,WB,Rates,Dynamic_Rho,74.0,-76.0,table_Daily Hedging P&L Summary for WB 2023_11_06.csv
20231106,DBIB,Other_Unhedged,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_06.csv
20231106,DBIB,Theta_Carry,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_06.csv
20231106,DBIB,Fees,,0.0,1.0,table_Daily Hedging P&L Summary for DBIB 2023_11_06.csv
20231106,WB,Credit,Credit,5.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_06.csv
20231106,WB,Underlying_Fund,,-7.0,-6.0,table_Daily Hedging P&L Summary for WB 2023_11_06.csv
20231106,WB,Model_Change,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_06.csv
20231106,WB,Theta_Carry,,-2.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_06.csv
20231106,WB,Equity,Gamma,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_06.csv
20231106,WB,Equity,Volatility,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_06.csv
20231106,WB,Other_Unhedged,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_06.csv
20231106,WB,Equity,Delta,4.0,-1.0,table_Daily Hedging P&L Summary for WB 2023_11_06.csv
20231106,DBIB,New_Business,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_06.csv
20231106,DBIB,Model_Change,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_06.csv
20231106,DBIB,Equity,Volatility,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_06.csv
20231106,WB,New_Business,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_06.csv
20231106,WB,ILP,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_06.csv
20231106,WB,Fees,,0.0,2.0,table_Daily Hedging P&L Summary for WB 2023_11_06.csv
20231106,DBIB,Credit,Credit,1.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_06.csv
20231106,DBIB,ILP,,0.0,0.0,table_Daily Hedging P&L Summary for DBIB 2023_11_06.csv
20231106,DBIB,Rates,Dynamic_Rho,43.0,-45.0,table_Daily Hedging P&L Summary for DBIB 2023_11_06.csv
20231107,WB,Other_Unhedged,,0.0,0.0,table_Daily Hedging P&L Summary for WB 2023_11_07.csv
