VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240605,DBIB,Equity,Delta,13.0,-13.3
20240605,DBIB,Equity,Gamma_Residual,0.3,0.0
20240605,DBIB,Interest_Rate,Rho,-23.4,23.3
20240605,DBIB,Interest_Rate,Convexity_Residual,-0.2,0.2
20240605,DBIB,Interest_Rate,Basis,0.0,0.1
20240605,DBIB,Credit,HY_Total,0.2,-0.3
20240605,DBIB,Credit,AGG_Credit,-1.3,0.0
20240605,DBIB,Credit,Agg_Risk_Free_Growth,-0.1,0.0
20240605,DBIB,Credit,ILP_Update,0.0,0.0
20240605,DBIB,Fund_Basis_Fund_Mapping,,5.9,-3.0
20240605,DBIB,Passage_Of_Time,,-0.1,-0.2
20240605,DBIB,Other_Inforce,,-0.1,0.0
20240605,DBIB,New_Business,,-0.1,0.0
20240605,DBIB,Cross_Impact_True_up,,0.3,0.0
