VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240524,DBIB,Equity,Delta,7.4,-7.3
20240524,DBIB,Equity,Gamma_Residual,0.4,-0.1
20240524,DBIB,Interest_Rate,Rho,-1.5,1.5
20240524,DBIB,Interest_Rate,Convexity_Residual,0.0,-0.1
20240524,DBIB,Interest_Rate,Basis,0.0,2.2
20240524,DBIB,Credit,HY_Total,-0.1,0.1
20240524,DBIB,Credit,AGG_Credit,0.2,0.0
20240524,DBIB,Credit,Agg_Risk_Free_Growth,-0.1,0.0
20240524,DBIB,Credit,ILP_Update,0.0,0.0
20240524,DBIB,Fund_Basis_Fund_Mapping,,2.1,-0.9
20240524,DBIB,Passage_Of_Time,,-0.2,-0.1
20240524,DBIB,Other_Inforce,,-0.5,0.0
20240524,DBIB,New_Business,,-0.5,0.0
20240524,DBIB,Cross_Impact_True_up,,0.2,0.0
