VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240426,WB,Equity,Delta,37.3,-37.0
20240426,WB,Equity,Gamma_Residual,0.5,-0.1
20240426,WB,Interest_Rate,Rho,-33.0,33.0
20240426,WB,Interest_Rate,Convexity_Residual,-0.1,0.0
20240426,WB,Interest_Rate,Basis,0.0,0.6
20240426,WB,Credit,HY_Total,0.9,-1.5
20240426,WB,Credit,AGG_Credit,1.7,0.0
20240426,WB,Credit,Agg_Risk_Free_Growth,-0.5,0.0
20240426,WB,Credit,ILP_Update,0.0,0.0
20240426,WB,Fund_Basis_Fund_Mapping,,9.4,-5.4
20240426,WB,Passage_Of_Time,,-2.2,2.2
20240426,WB,Other_Inforce,,-1.3,0.0
20240426,WB,New_Business,,0.3,0.0
20240426,WB,Cross_Impact_True_up,,0.2,-0.0
