VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240419,WB,Equity,Delta,-30.5,30.3
20240419,WB,Equity,Gamma_Residual,0.5,0.2
20240419,WB,Interest_Rate,Rho,-28.8,28.8
20240419,WB,Interest_Rate,Convexity_Residual,-0.1,0.4
20240419,WB,Interest_Rate,Basis,0.0,-0.3
20240419,WB,Credit,HY_Total,0.3,-0.6
20240419,WB,Credit,AGG_Credit,-2.3,0.3
20240419,WB,Credit,Agg_Risk_Free_Growth,-0.5,0.0
20240419,WB,Credit,ILP_Update,0.0,0.0
20240419,WB,Fund_Basis_Fund_Mapping,,-6.5,8.6
20240419,WB,Passage_Of_Time,,-2.2,2.2
20240419,WB,Other_Inforce,,-1.4,0.0
20240419,WB,New_Business,,0.5,0.0
20240419,WB,Cross_Impact_True_up,,0.0,0.0
