VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240613,WB,Equity,Delta,-17.8,17.5
20240613,WB,Equity,Gamma_Residual,0.7,-0.1
20240613,WB,Interest_Rate,Rho,-41.9,42.0
20240613,WB,Interest_Rate,Convexity_Residual,-0.2,0.3
20240613,WB,Interest_Rate,Basis,0.0,0.9
20240613,WB,Credit,HY_Total,-0.1,0.2
20240613,WB,Credit,AGG_Credit,5.0,-0.3
20240613,WB,Credit,Agg_Risk_Free_Growth,-0.5,0.0
20240613,WB,Credit,ILP_Update,0.0,0.0
20240613,WB,Fund_Basis_Fund_Mapping,,1.5,-8.0
20240613,WB,Passage_Of_Time,,-2.6,2.6
20240613,WB,Other_Inforce,,0.5,0.0
20240613,WB,New_Business,,0.1,0.0
20240613,WB,Cross_Impact_True_up,,0.2,0.0
