VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240520,DBIB,Equity,Delta,1.3,-1.8
20240520,DBIB,Equity,Gamma_Residual,0.4,-0.1
20240520,DBIB,Interest_Rate,Rho,7.7,-7.7
20240520,DBIB,Interest_Rate,Convexity_Residual,0.1,-0.2
20240520,DBIB,Interest_Rate,Basis,0.0,0.2
20240520,DBIB,Credit,HY_Total,0.0,-0.1
20240520,DBIB,Credit,AGG_Credit,-0.1,0.0
20240520,DBIB,Credit,Agg_Risk_Free_Growth,-0.2,0.0
20240520,DBIB,Credit,ILP_Update,0.0,0.0
20240520,DBIB,Fund_Basis_Fund_Mapping,,1.2,-1.3
20240520,DBIB,Passage_Of_Time,,-0.8,-0.1
20240520,DBIB,Other_Inforce,,0.7,0.0
20240520,DBIB,New_Business,,0.0,0.0
20240520,DBIB,Cross_Impact_True_up,,0.4,0.0
