VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240515,WB,Equity,Delta,48.5,-49.0
20240515,WB,Equity,Gamma_Residual,0.3,-0.2
20240515,WB,Interest_Rate,Rho,-70.0,70.1
20240515,WB,Interest_Rate,Convexity_Residual,-0.7,0.6
20240515,WB,Interest_Rate,Basis,0.0,0.6
20240515,WB,Credit,HY_Total,1.4,-1.7
20240515,WB,Credit,AGG_Credit,3.3,-0.1
20240515,WB,Credit,Agg_Risk_Free_Growth,-0.5,0.0
20240515,WB,Credit,ILP_Update,0.0,0.0
20240515,WB,Fund_Basis_Fund_Mapping,,7.3,-0.6
20240515,WB,Passage_Of_Time,,-2.0,2.1
20240515,WB,Other_Inforce,,0.4,0.0
20240515,WB,New_Business,,0.1,0.0
20240515,WB,Cross_Impact_True_up,,0.1,-0.0
