VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240606,DBIB,Equity,Delta,1.2,-1.0
20240606,DBIB,Equity,Gamma_Residual,0.4,0.0
20240606,DBIB,Interest_Rate,Rho,-5.4,5.6
20240606,DBIB,Interest_Rate,Convexity_Residual,0.0,0.2
20240606,DBIB,Interest_Rate,Basis,0.0,-0.1
20240606,DBIB,Credit,HY_Total,0.0,0.0
20240606,DBIB,Credit,AGG_Credit,1.1,0.0
20240606,DBIB,Credit,Agg_Risk_Free_Growth,-0.1,0.0
20240606,DBIB,Credit,ILP_Update,0.0,0.0
20240606,DBIB,Fund_Basis_Fund_Mapping,,-2.9,0.2
20240606,DBIB,Passage_Of_Time,,-0.2,-0.1
20240606,DBIB,Other_Inforce,,0.1,0.0
20240606,DBIB,New_Business,,0.0,0.0
20240606,DBIB,Cross_Impact_True_up,,-0.5,0.0
