VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240412,WB,Equity,Delta,-54.6,60.1
20240412,WB,Equity,Gamma_Residual,0.2,0.2
20240412,WB,Interest_Rate,Rho,-50.4,50.9
20240412,WB,Interest_Rate,Convexity_Residual,-0.5,0.5
20240412,WB,Interest_Rate,Basis,0.0,0.7
20240412,WB,Credit,HY_Total,-0.5,0.9
20240412,WB,Credit,AGG_Credit,-6.1,0.6
20240412,WB,Credit,Agg_Risk_Free_Growth,-0.5,0.0
20240412,WB,Credit,ILP_Update,0.0,0.0
20240412,WB,Fund_Basis_Fund_Mapping,,-16.6,3.4
20240412,WB,Passage_Of_Time,,-2.1,2.2
20240412,WB,Other_Inforce,,-1.4,0.0
20240412,WB,New_Business,,0.3,0.0
20240412,WB,Cross_Impact_True_up,,-0.9,0.0
