VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240403,WB,Equity,Delta,8.6,-9.5
20240403,WB,Equity,Gamma_Residual,0.7,-0.1
20240403,WB,Interest_Rate,Rho,-2.9,3.0
20240403,WB,Interest_Rate,Convexity_Residual,0.1,-0.1
20240403,WB,Interest_Rate,Basis,0.0,0.7
20240403,WB,Credit,HY_Total,0.0,0.1
20240403,WB,Credit,AGG_Credit,0.5,0.0
20240403,WB,Credit,Agg_Risk_Free_Growth,-0.5,0.0
20240403,WB,Credit,ILP_Update,0.0,0.0
20240403,WB,Fund_Basis_Fund_Mapping,,6.8,1.7
20240403,WB,Passage_Of_Time,,-2.0,2.1
20240403,WB,Other_Inforce,,0.1,0.0
20240403,WB,New_Business,,0.1,0.0
20240403,WB,Cross_Impact_True_up,,-0.6,-0.0
