VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240402,WB,Equity,Delta,-33.6,34.8
20240402,WB,Equity,Gamma_Residual,0.6,0.2
20240402,WB,Interest_Rate,Rho,40.0,-40.3
20240402,WB,Interest_Rate,Convexity_Residual,-0.4,0.3
20240402,WB,Interest_Rate,Basis,0.0,1.4
20240402,WB,Credit,HY_Total,-1.3,1.5
20240402,WB,Credit,AGG_Credit,3.5,-0.3
20240402,WB,Credit,Agg_Risk_Free_Growth,-0.5,0.0
20240402,WB,Credit,ILP_Update,0.0,0.0
20240402,WB,Fund_Basis_Fund_Mapping,,-1.3,-1.8
20240402,WB,Passage_Of_Time,,-2.0,2.1
20240402,WB,Other_Inforce,,-4.0,0.0
20240402,WB,New_Business,,0.1,0.0
20240402,WB,Cross_Impact_True_up,,1.0,0.0
