VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240604,DBIB,Equity,Delta,-3.2,3.1
20240604,DBIB,Equity,Gamma_Residual,0.4,-0.0
20240604,DBIB,Interest_Rate,Rho,-32.5,31.9
20240604,DBIB,Interest_Rate,Convexity_Residual,-0.4,0.5
20240604,DBIB,Interest_Rate,Basis,0.0,0.2
20240604,DBIB,Credit,HY_Total,0.1,-0.1
20240604,DBIB,Credit,AGG_Credit,0.2,0.0
20240604,DBIB,Credit,Agg_Risk_Free_Growth,-0.1,0.0
20240604,DBIB,Credit,ILP_Update,0.0,0.0
20240604,DBIB,Fund_Basis_Fund_Mapping,,-1.2,0.4
20240604,DBIB,Passage_Of_Time,,-0.2,-0.1
20240604,DBIB,Other_Inforce,,0.8,0.0
20240604,DBIB,New_Business,,-0.0,0.0
20240604,DBIB,Cross_Impact_True_up,,0.7,-0.0
