VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240710,WB,Equity,Delta,44.3,-45.4
20240710,WB,Equity,Gamma_Residual,0.4,0.1
20240710,WB,Interest_Rate,Rho,-20.2,19.8
20240710,WB,Interest_Rate,Convexity_Residual,0.0,0.2
20240710,WB,Interest_Rate,Basis,0.0,0.8
20240710,WB,Credit,HY_Total,0.5,-0.6
20240710,WB,Credit,AGG_Credit,-0.9,0.1
20240710,WB,Credit,Agg_Risk_Free_Growth,-0.5,0.0
20240710,WB,Credit,ILP_Update,0.0,0.0
20240710,WB,Fund_Basis_Fund_Mapping,,5.2,1.9
20240710,WB,Passage_Of_Time,,-2.1,2.1
20240710,WB,Other_Inforce,,1.0,0.0
20240710,WB,New_Business,,0.0,0.0
20240710,WB,Cross_Impact_True_up,,0.8,0.0
